iter	Passed	Remaining
733	6296	2281
734	6303	2272
735	6310	2263
736	6317	2254
737	6324	2245
738	6331	2236
739	6341	2228
740	6348	2218
741	6355	2210
742	6363	2201
743	6372	2192
744	6380	2183
745	6389	2175
746	6396	2166
747	6403	2157
748	6411	2148
749	6418	2139
750	6424	2130
751	6430	2120
752	6436	2111
753	6442	2102
754	6449	2092
755	6455	2083
756	6461	2074
757	6468	2065
758	6474	2055
759	6480	2046
760	6487	2037
761	6493	2028
762	6499	2018
763	6507	2010
764	6513	2000
765	6520	1991
766	6525	1982
767	6532	1973
768	6539	1964
769	6545	1955
770	6551	1945
771	6557	1936
772	6564	1927
773	6570	1918
774	6577	1909
775	6583	1900
776	6590	1891
777	6596	1882
778	6603	1873
779	6610	1864
780	6616	1855
781	6622	1846
782	6629	1837
783	6634	1827
784	6641	1818
785	6647	1809
786	6653	1800
787	6660	1791
788	6666	1782
789	6672	1773
790	6679	1764
791	6685	1755
792	6692	1746
793	6698	1737
794	6705	1728
795	6711	1720
796	6718	1711
797	6724	1702
798	6730	1693
799	6737	1684
800	6743	1675
801	6749	1666
802	6755	1657
803	6761	1648
804	6768	1639
805	6774	1630
806	6781	1621
807	6787	1612
808	6793	1603
809	6800	1595
810	6806	1586
811	6813	1577
812	6820	1568
813	6826	1559
814	6833	1551
815	6839	1542
816	6845	1533
817	6852	1524
818	6858	1515
819	6864	1506
820	6870	1498
821	6877	1489
822	6883	1480
823	6890	1471
824	6896	1462
825	6902	1454
826	6908	1445
827	6915	1436
828	6923	1428
829	6929	1419
830	6935	1410
831	6941	1401
832	6947	1392
833	6953	1384
834	6960	1375
835	6966	1366
836	6972	1357
837	6978	1349
838	6984	1340
839	6991	1331
840	6997	1322
841	7003	1314
842	7010	1305
843	7016	1296
844	7022	1288
845	7028	1279
846	7034	1270
847	7040	1261
848	7046	1253
849	7052	1244
850	7059	1236
851	7065	1227
852	7071	1218
853	7077	1210
854	7083	1201
855	7090	1192
856	7096	1184
857	7102	1175
858	7108	1166
859	7115	1158
860	7123	1149
861	7129	1141
862	7136	1132
863	7143	1124
864	7153	1116
865	7162	1108
866	7171	1100
867	7177	1091
868	7183	1082
869	7192	1074
870	7199	1066
871	7206	1057
872	7216	1049
873	7222	1041
874	7232	1033
875	7239	1024
876	7248	1016
877	7255	1008
878	7264	999
879	7272	991
880	7281	983
881	7288	975
882	7296	966
883	7304	958
884	7312	950
885	7318	941
886	7325	933
887	7333	924
888	7340	916
889	7362	909
890	7369	901
891	7376	893
892	7384	884
893	7392	876
894	7401	868
895	7408	859
896	7416	851
897	7423	843
898	7433	835
899	7442	826
900	7449	818
901	7457	810
902	7464	801
903	7473	793
904	7479	785
905	7487	776
906	7494	768
907	7502	760
908	7510	751
909	7516	743
910	7525	735
911	7533	726
912	7543	718
913	7549	710
914	7556	702
915	7569	694
916	7577	685
917	7587	677
918	7598	669
919	7606	661
920	7615	653
921	7624	644
922	7635	637
923	7645	628
924	7654	620
925	7665	612
926	7674	604
927	7682	596
